0, 4294967280
1, 4294967280
2, 4294967280
3, 32
4, 0
5, 13
6, 148
7, 1543
8, 1678
9, 21073
10, 21208
11, 22603
12, 22738
13, 0
14, 22
15, 85
16, 787
17, 850
18, 10561
19, 10624
20, 11317
21, 11380
22, 0
23, 31
24, 58
25, 427
26, 454
27, 5377
28, 5404
29, 5737
30, 5764
31, 0
32, 40
33, 49
34, 283
35, 292
36, 3073
37, 3082
38, 3217
39, 3226
40, 0
41, 16777215
42, 0
43, 0
44, 16777215
45, 0
46, 16777215
47, 16777215
48, 0
49, 0
50, 16777215
51, 0
52, 0
53, 16777215
54, 0
55, 16777215
56, 16777215
57, 0
58, 0
59, 67
60, 76
61, 301
62, 310
63, 3091
64, 3100
65, 3235
66, 3244
67, 0
68, 16777215
69, 0
70, 0
71, 16777215
72, 0
73, 16777215
74, 16777215
75, 0
76, 0
77, 16777215
78, 0
79, 0
80, 16777215
81, 0
82, 16777215
83, 16777215
84, 0
85, 0
86, 94
87, 121
88, 481
89, 508
90, 5431
91, 5458
92, 5791
93, 5818
94, 0
95, 103
96, 112
97, 319
98, 328
99, 3109
100, 3118
101, 3253
102, 3262
103, 0
104, 16777215
105, 0
106, 0
107, 16777215
108, 0
109, 16777215
110, 16777215
111, 0
112, 0
113, 16777215
114, 0
115, 0
116, 16777215
117, 0
118, 16777215
119, 16777215
120, 0
121, 0
122, 130
123, 139
124, 337
125, 346
126, 3127
127, 3136
128, 3271
129, 3280
130, 0
131, 16777215
132, 0
133, 0
134, 16777215
135, 0
136, 16777215
137, 16777215
138, 0
139, 0
140, 16777215
141, 0
142, 0
143, 16777215
144, 0
145, 16777215
146, 16777215
147, 0
148, 0
149, 157
150, 220
151, 913
152, 976
153, 10687
154, 10750
155, 11443
156, 11506
157, 0
158, 166
159, 193
160, 535
161, 562
162, 5485
163, 5512
164, 5845
165, 5872
166, 0
167, 175
168, 184
169, 355
170, 364
171, 3145
172, 3154
173, 3289
174, 3298
175, 0
176, 16777215
177, 0
178, 0
179, 16777215
180, 0
181, 16777215
182, 16777215
183, 0
184, 0
185, 16777215
186, 0
187, 0
188, 16777215
189, 0
190, 16777215
191, 16777215
192, 0
193, 0
194, 202
195, 211
196, 373
197, 382
198, 3163
199, 3172
200, 3307
201, 3316
202, 0
203, 16777215
204, 0
205, 0
206, 16777215
207, 0
208, 16777215
209, 16777215
210, 0
211, 0
212, 16777215
213, 0
214, 0
215, 16777215
216, 0
217, 16777215
218, 16777215
219, 0
220, 0
221, 229
222, 256
223, 589
224, 616
225, 5539
226, 5566
227, 5899
228, 5926
229, 0
230, 238
231, 247
232, 391
233, 400
234, 3181
235, 3190
236, 3325
237, 3334
238, 0
239, 16777215
240, 0
241, 0
242, 16777215
243, 0
244, 16777215
245, 16777215
246, 0
247, 0
248, 16777215
249, 0
250, 0
251, 16777215
252, 0
253, 16777215
254, 16777215
255, 0
256, 0
257, 265
258, 274
259, 409
260, 418
261, 3199
262, 3208
263, 3343
264, 3352
265, 0
266, 16777215
267, 0
268, 0
269, 16777215
270, 0
271, 16777215
272, 16777215
273, 0
274, 0
275, 16777215
276, 0
277, 0
278, 16777215
279, 0
280, 16777215
281, 16777215
282, 0
283, 0
284, 16777215
285, 0
286, 0
287, 16777215
288, 0
289, 16777215
290, 16777215
291, 0
292, 0
293, 16777215
294, 0
295, 0
296, 16777215
297, 0
298, 16777215
299, 16777215
300, 0
301, 0
302, 16777215
303, 0
304, 0
305, 16777215
306, 0
307, 16777215
308, 16777215
309, 0
310, 0
311, 16777215
312, 0
313, 0
314, 16777215
315, 0
316, 16777215
317, 16777215
318, 0
319, 0
320, 16777215
321, 0
322, 0
323, 16777215
324, 0
325, 16777215
326, 16777215
327, 0
328, 0
329, 16777215
330, 0
331, 0
332, 16777215
333, 0
334, 16777215
335, 16777215
336, 0
337, 0
338, 16777215
339, 0
340, 0
341, 16777215
342, 0
343, 16777215
344, 16777215
345, 0
346, 0
347, 16777215
348, 0
349, 0
350, 16777215
351, 0
352, 16777215
353, 16777215
354, 0
355, 0
356, 16777215
357, 0
358, 0
359, 16777215
360, 0
361, 16777215
362, 16777215
363, 0
364, 0
365, 16777215
366, 0
367, 0
368, 16777215
369, 0
370, 16777215
371, 16777215
372, 0
373, 0
374, 16777215
375, 0
376, 0
377, 16777215
378, 0
379, 16777215
380, 16777215
381, 0
382, 0
383, 16777215
384, 0
385, 0
386, 16777215
387, 0
388, 16777215
389, 16777215
390, 0
391, 0
392, 16777215
393, 0
394, 0
395, 16777215
396, 0
397, 16777215
398, 16777215
399, 0
400, 0
401, 16777215
402, 0
403, 0
404, 16777215
405, 0
406, 16777215
407, 16777215
408, 0
409, 0
410, 16777215
411, 0
412, 0
413, 16777215
414, 0
415, 16777215
416, 16777215
417, 0
418, 0
419, 16777215
420, 0
421, 0
422, 16777215
423, 0
424, 16777215
425, 16777215
426, 0
427, 0
